Country,Case & death data by sex?,Cases where sex-disaggregated data is available,Cases (% male),Cases (% female),Male cases,Female cases,Deaths where sex-disaggregated data is available
Afghanistan,Yes,43352,68.88%,31.12%,29860,13491,1484
Albania,Yes,33556,48%,52%,16106,17449,716
Algeria,Partial,55630,53.80%,46.20%,,,
Andorra,No,,,,,,
Angola,No,,,,,,
Argentina,Yes,1395955,49.77%,50.23%,694766,701188,37683
Armenia,Partial,,,,,,1243
Aruba,No,,,,,,
Australia,Yes,27722,48.73%,51.27%,13508,14213,907
Austria,Yes,278185,49.41%,50.59%,137451,140733,2909
Azerbaijan,Partial,70216,46%,54%,,,
Bahamas,No,,,,,,
Bahrain,Partial,6081,88%,12%,,,
Bangladesh,Yes,449760,71%,29%,319329,130430,6416
Belarus,No,,,,,,
Belgium,Yes,558644,44.74%,55.26%,249937,308706,15728
Belize,Yes,5249,53.82%,46.18%,2825,2423,120
Benin,No,,,,,,
Bhutan,Yes,386,73.32%,26.68%,283,102,
Bolivia,No,,,,,,
Bosnia and Herzegovina,Yes,52107,52.18%,47.82%,27189,24917,1413
Botswana,Partial,48,83%,17%,,,15
Brazil,Partial,114617,46%,54%,,,150264
Bulgaria,Partial,2443,49%,51%,,,
Burkina Faso,Yes,2733,65.79%,34.21%,1798,934,55
Burundi,No,,,,,,
Cabo Verde,Yes,10526,47.55%,52.45%,5005,5520,59
Cambodia,Yes,283,79.86%,20.14%,226,56,
Cameroon,No,,,,,,
Canada,Yes,325975,47.69%,52.31%,155457,170517,11519
Central African Republic,Partial,4854,73.49%,26.51%,,,
Chad,Yes,1367,70.96%,29.04%,970,396,92
Chile,Yes,595629,50.64%,49.36%,301626,294002,294
China,Yes,55924,51%,49%,28521,27402,2114
Colombia,Yes,1262494,49.93%,50.07%,630363,632130,35677
Comoros,No,,,,,,
Congo,No,,,,,,
Costa Rica,Yes,132295,51.48%,48.52%,68105,64189,1641
Cote d'Ivoire,No,,,,,,
Croatia,Partial,105687,48.52%,51.48%,,,
Cuba,Partial,7879,54.11%,45.89%,,,
Curaçao,No,,,,,,
Cyprus,Partial,8685,51.30%,48.70%,,,
Czech Republic,Yes,490186,47.65%,52.35%,233573,256612,6416
DRC,No,,,,,,
Dem. People's Republic of Korea,No,,,,,,
Denmark,Yes,71654,49.86%,50.14%,35726,35927,797
Djibouti,Partial,3779,68%,32%,,,
Dominican Republic,Yes,93732,51%,49%,47803,45928,1710
Ecuador,Yes,185643,53.01%,46.99%,98409,87233,13201
Egypt,No,,,,,,
El Salvador,Partial,37562,52.10%,47.90%,,,
England,Yes,1306700,46.13%,53.87%,602780,703919,42347
Equatorial Guinea,Yes,4633,59.14%,40.86%,2739,1893,85
Eritrea,No,,,,,,
Estonia,Yes,10502,48.31%,51.69%,5073,5428,83
Eswatini,Yes,6219,47.34%,52.66%,2944,3274,113
Ethiopia,Partial,5846,61%,39%,,,
Finland,Yes,8086,49%,51%,3962,4123,369
France,Yes,1047083,47.46%,52.54%,496945,550137,32466
French Polynesia,Partial,2228,49%,51%,,,7
Gabon,Partial,8409,40%,60%,,,
Gambia,Partial,3692,58.75%,41.25%,,,
Georgia,No,,,,,,
Germany,Yes,975893,49.22%,50.78%,480334,495558,14346
Ghana,Partial,50941,58%,42%,,,
Gibraltar,Partial,,,,,,5
Greece,Yes,90822,53.14%,46.86%,48262,42559,1815
Greenland,No,,,,,,
Guatemala,Yes,116628,57.38%,42.62%,66921,49706,3987
Guernsey,Partial,252,37%,63%,,,13
Guinea,Partial,12897,68.17%,31.83%,,,
Guinea-Bissau,No,,,,,,
Guyana,Partial,5154,51.94%,48.06%,,,
Haiti,Yes,9248,57.90%,42.10%,5354,3893,232
Honduras,Partial,67789,52%,48%,,,
Hong Kong,Yes,5629,49.90%,50.10%,2808,2820,108
Hungary,Partial,,,,,,4008
Iceland,Partial,1823,50%,50%,,,
India,Yes,2877791,65%,35%,1870564,1007226,3711
Indonesia,Yes,522581,50.50%,49.50%,263903,258677,16521
Iran,Yes,14991,57%,43%,8544,6446,853
Iraq,Yes,533555,56.62%,43.38%,302098,231456,12125
Israel,Yes,328483,52.01%,47.99%,170844,157638,2823
Italy,Yes,1231343,49.06%,50.94%,604096,627246,45557
Jamaica,Yes,10418,45.42%,54.58%,4731,5686,239
Japan,Partial,17301,55%,45%,,,
Jersey,Yes,835,46%,54%,384,450,32
Jordan,No,,,,,,
Kazakhstan,Partial,9452,61%,39%,,,
Kenya,Yes,77785,63.80%,36.20%,49626,28158,1392
Kuwait,No,,,,,,
Kyrgyzstan,Yes,12498,47%,53%,5874,6623,155
Latvia,Yes,13236,44.25%,55.75%,5856,7379,162
Lebanon,Partial,117476,55%,45%,,,36
Lesotho,No,,,,,,
Liberia,Yes,1551,64.93%,35.07%,1007,543,82
Libya,No,,,,,,
Liechtenstein,No,,,,,,
Lithuania,Partial,49241,43.05%,56.95%,,,70
Luxembourg,Yes,32873,50%,50%,16436,16436,294
Madagascar,No,,,,,,
Malawi,Yes,5963,68.29%,31.71%,4072,1890,185
Malaysia,Partial,,,,,,300
Maldives,Yes,12738,69.48%,30.52%,8850,3887,42
Mali,Partial,2773,67%,33%,,,
Malta,Partial,674,60%,40%,,,
Mauritania,No,,,,,,
Mauritius,No,,,,,,
